Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Delray Beach Open,2025-02-11,ATP250,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,Daniel T.,Davidovich Fokina A.,60,119,940,494,1.3,3.5,6-2 7-6
Delray Beach Open,2025-02-11,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Bu Y.,Bu Y.,72,69,784,830,2.2,1.67,2-6 0-6
Delray Beach Open,2025-02-11,ATP250,Outdoor,Hard,1st Round,3,Rinderknech A.,Popko D.,Rinderknech A.,65,208,899,289,1.13,6.0,6-2 6-4
Delray Beach Open,2025-02-11,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,McDonald M.,McDonald M.,71,123,793,488,1.5,2.63,6-7 6-4 5-7
Delray Beach Open,2025-02-12,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Eubanks C.,Opelka R.,121,104,491,567,1.44,2.75,6-3 7-6
Delray Beach Open,2025-02-12,ATP250,Outdoor,Hard,1st Round,3,Walton A.,Tien L.,Tien L.,89,82,655,707,3.0,1.4,4-6 3-6
Delray Beach Open,2025-02-12,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Rinderknech A.,Norrie C.,61,65,934,899,1.4,3.0,7-6 6-2
Delray Beach Open,2025-02-12,ATP250,Outdoor,Hard,2nd Round,3,Quinn E.,Giron M.,Giron M.,150,49,382,1125,3.2,1.36,3-6 4-6
Delray Beach Open,2025-02-13,ATP250,Outdoor,Hard,2nd Round,3,Nakashima B.,Opelka R.,Nakashima B.,43,121,1250,491,2.0,1.8,3-6 7-5 6-2
Delray Beach Open,2025-02-13,ATP250,Outdoor,Hard,2nd Round,3,McDonald M.,Davidovich Fokina A.,Davidovich Fokina A.,123,60,488,940,2.63,1.5,2-6 7-5 0-6
Delray Beach Open,2025-02-13,ATP250,Outdoor,Hard,2nd Round,3,Arnaldi M.,Tien L.,Arnaldi M.,38,82,1355,707,1.73,2.1,7-6 4-6 7-6
Delray Beach Open,2025-02-14,ATP250,Outdoor,Hard,2nd Round,3,Bu Y.,Fritz T.,Fritz T.,69,4,830,5100,8.0,1.08,6-7 2-6
Delray Beach Open,2025-02-14,ATP250,Outdoor,Hard,Quarterfinals,3,Kecmanovic M.,Giron M.,Kecmanovic M.,56,49,996,1125,2.0,1.8,2-6 6-4 6-2
Delray Beach Open,2025-02-14,ATP250,Outdoor,Hard,Quarterfinals,3,Norrie C.,Michelsen A.,Michelsen A.,61,37,934,1370,2.2,1.67,6-7 5-7
Delray Beach Open,2025-02-14,ATP250,Outdoor,Hard,Quarterfinals,3,Arnaldi M.,Nakashima B.,Arnaldi M.,38,43,1355,1250,2.3,1.62,7-6 6-4
Delray Beach Open,2025-02-15,ATP250,Outdoor,Hard,Quarterfinals,3,Fritz T.,Davidovich Fokina A.,Davidovich Fokina A.,4,60,5100,940,1.2,4.5,6-7 6-7
Delray Beach Open,2025-02-15,ATP250,Outdoor,Hard,Semifinals,3,Kecmanovic M.,Michelsen A.,Kecmanovic M.,56,37,996,1370,2.3,1.62,7-6 6-3
Delray Beach Open,2025-02-16,ATP250,Outdoor,Hard,Semifinals,3,Arnaldi M.,Davidovich Fokina A.,Davidovich Fokina A.,38,60,1355,940,1.67,2.2,4-6 4-6
Delray Beach Open,2025-02-16,ATP250,Outdoor,Hard,The Final,3,Kecmanovic M.,Davidovich Fokina A.,Kecmanovic M.,56,60,996,940,1.8,2.0,3-6 6-1 7-5
Open 13,2025-02-10,ATP250,Indoor,Hard,1st Round,3,Collignon R.,Medjedovic H.,Medjedovic H.,122,96,491,617,3.4,1.33,3-6 4-6
Open 13,2025-02-10,ATP250,Indoor,Hard,1st Round,3,Virtanen O.,Korda S.,Virtanen O.,98,23,614,2000,3.2,1.36,6-7 7-6 6-4
Open 13,2025-02-10,ATP250,Indoor,Hard,1st Round,3,Van De Zandschulp B.,Sonego L.,Sonego L.,85,35,672,1376,2.0,1.8,1-6 6-3 3-6
Open 13,2025-02-11,ATP250,Indoor,Hard,1st Round,3,Altmaier D.,Nardi L.,Altmaier D.,80,83,728,681,2.0,1.8,6-2 6-2
Open 13,2025-02-11,ATP250,Indoor,Hard,1st Round,3,Gasquet R.,Bublik A.,Bublik A.,128,48,478,1130,2.3,1.62,4-6 4-6
Open 13,2025-02-11,ATP250,Indoor,Hard,1st Round,3,Van Assche L.,Bonzi B.,Van Assche L.,164,64,346,911,2.63,1.5,3-6 6-3 7-6
Open 13,2025-02-11,ATP250,Indoor,Hard,1st Round,3,Guinard M.,Struff J.L.,Struff J.L.,280,46,191,1200,4.5,1.2,5-7 6-7
Open 13,2025-02-11,ATP250,Indoor,Hard,1st Round,3,Borges N.,Wawrinka S.,Borges N.,39,158,1345,361,1.57,2.38,6-7 7-6 6-3
Open 13,2025-02-11,ATP250,Indoor,Hard,1st Round,3,Chidekh C.,Bergs Z.,Bergs Z.,189,62,317,932,3.2,1.36,4-6 4-6
Open 13,2025-02-11,ATP250,Indoor,Hard,1st Round,3,Zhang Zh.,Halys Q.,Zhang Zh.,52,74,1050,756,1.73,2.1,6-3 6-7 7-6
Open 13,2025-02-12,ATP250,Indoor,Hard,1st Round,3,Gea A.,Grenier H.,Grenier H.,306,202,171,306,1.73,2.1,5-7 4-6
Open 13,2025-02-12,ATP250,Indoor,Hard,1st Round,3,Herbert P.,Mayot H.,Herbert P.,192,136,315,447,1.91,1.91,2-6 7-5 6-3
Open 13,2025-02-12,ATP250,Indoor,Hard,2nd Round,3,Virtanen O.,Altmaier D.,Altmaier D.,98,80,614,728,1.73,2.1,4-6 3-6
Open 13,2025-02-12,ATP250,Indoor,Hard,2nd Round,3,Medjedovic H.,Khachanov K.,Medjedovic H.,96,21,617,2210,2.3,1.62,6-2 6-3
Open 13,2025-02-12,ATP250,Indoor,Hard,2nd Round,3,Bublik A.,Humbert U.,Humbert U.,48,17,1130,2625,3.75,1.29,6-7 4-6
Open 13,2025-02-13,ATP250,Indoor,Hard,2nd Round,3,Bergs Z.,Borges N.,Bergs Z.,62,39,932,1345,1.73,2.1,6-2 6-7 6-2
Open 13,2025-02-13,ATP250,Indoor,Hard,2nd Round,3,Hurkacz H.,Zhang Zh.,Zhang Zh.,20,52,2305,1050,1.25,4.0,4-6 7-6 3-6
Open 13,2025-02-13,ATP250,Indoor,Hard,2nd Round,3,Medvedev D.,Herbert P.,Medvedev D.,8,192,3830,315,1.14,5.5,6-2 6-4
Open 13,2025-02-13,ATP250,Indoor,Hard,2nd Round,3,Grenier H.,Struff J.L.,Struff J.L.,202,46,306,1200,3.2,1.36,4-6 7-5 4-6
Open 13,2025-02-14,ATP250,Indoor,Hard,Quarterfinals,3,Humbert U.,Sonego L.,Humbert U.,17,35,2625,1376,1.36,3.2,6-4 6-4
Open 13,2025-02-14,ATP250,Indoor,Hard,Quarterfinals,3,Struff J.L.,Medvedev D.,Medvedev D.,46,8,1200,3830,4.33,1.19,3-6 2-6
Open 13,2025-02-14,ATP250,Indoor,Hard,Quarterfinals,3,Medjedovic H.,Altmaier D.,Medjedovic H.,96,80,617,728,1.44,2.75,7-5 6-7 6-4
Open 13,2025-02-15,ATP250,Indoor,Hard,Semifinals,3,Bergs Z.,Humbert U.,Humbert U.,62,17,932,2625,3.2,1.36,4-6 4-6
Open 13,2025-02-15,ATP250,Indoor,Hard,Semifinals,3,Medjedovic H.,Medvedev D.,Medjedovic H.,96,8,617,3830,3.75,1.29,6-3 6-2
Open 13,2025-02-16,ATP250,Indoor,Hard,The Final,3,Medjedovic H.,Humbert U.,Humbert U.,96,17,617,2625,3.0,1.4,6-7 4-6
Qatar Exxon Mobil Open,2025-02-17,ATP500,Outdoor,Hard,1st Round,3,O Connell C.,Habib H.,O Connell C.,82,166,730,341,1.3,3.5,7-6 7-6
Qatar Exxon Mobil Open,2025-02-17,ATP500,Outdoor,Hard,1st Round,3,Dimitrov G.,Lehecka J.,Lehecka J.,15,25,2745,1835,2.1,1.73,4-6 4-6
Qatar Exxon Mobil Open,2025-02-17,ATP500,Outdoor,Hard,1st Round,3,Marozsan F.,Dougaz A.,Marozsan F.,57,216,1010,265,1.17,5.0,7-5 6-3
Qatar Exxon Mobil Open,2025-02-17,ATP500,Outdoor,Hard,1st Round,3,Cilic M.,Alcaraz C.,Alcaraz C.,192,3,313,7410,17.0,1.03,4-6 4-6
Qatar Exxon Mobil Open,2025-02-17,ATP500,Outdoor,Hard,1st Round,3,Draper J.,Popyrin A.,Draper J.,16,27,2680,1800,1.4,3.0,6-2 7-6
Qatar Exxon Mobil Open,2025-02-18,ATP500,Outdoor,Hard,1st Round,3,Safiullin R.,De Minaur A.,De Minaur A.,71,8,823,3735,8.0,1.08,1-6 5-7
Qatar Exxon Mobil Open,2025-02-18,ATP500,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Shelbayh A.,Van De Zandschulp B.,87,267,672,201,1.2,4.5,7-5 6-3
Qatar Exxon Mobil Open,2025-02-18,ATP500,Outdoor,Hard,1st Round,3,Zhang Zh.,Nardi L.,Nardi L.,49,85,1100,674,1.62,2.3,4-6 3-6
Qatar Exxon Mobil Open,2025-02-18,ATP500,Outdoor,Hard,1st Round,3,Borges N.,Virtanen O.,Borges N.,39,92,1345,639,1.4,3.0,7-6 6-3
Qatar Exxon Mobil Open,2025-02-18,ATP500,Outdoor,Hard,1st Round,3,Bautista Agut R.,Bergs Z.,Bergs Z.,54,58,1052,1007,2.1,1.73,4-6 6-7
Qatar Exxon Mobil Open,2025-02-18,ATP500,Outdoor,Hard,1st Round,3,Griekspoor T.,Struff J.L.,Griekspoor T.,51,44,1080,1200,1.57,2.38,7-6 7-6
Qatar Exxon Mobil Open,2025-02-18,ATP500,Outdoor,Hard,1st Round,3,Bublik A.,Rublev A.,Rublev A.,48,10,1105,3220,3.75,1.29,3-6 4-6
Qatar Exxon Mobil Open,2025-02-18,ATP500,Outdoor,Hard,1st Round,3,Medvedev D.,Khachanov K.,Medvedev D.,6,21,3930,2210,1.57,2.38,4-6 7-5 6-3
Qatar Exxon Mobil Open,2025-02-18,ATP500,Outdoor,Hard,1st Round,3,Halys Q.,Auger-Aliassime F.,Auger-Aliassime F.,79,23,734,1965,4.0,1.25,6-4 4-6 6-7
Qatar Exxon Mobil Open,2025-02-18,ATP500,Outdoor,Hard,1st Round,3,Berrettini M.,Djokovic N.,Berrettini M.,35,7,1430,3900,3.75,1.29,7-6 6-2
Qatar Exxon Mobil Open,2025-02-18,ATP500,Outdoor,Hard,1st Round,3,Tsitsipas S.,Medjedovic H.,Medjedovic H.,11,73,3095,782,1.44,2.75,6-7 7-5 6-7
Qatar Exxon Mobil Open,2025-02-19,ATP500,Outdoor,Hard,2nd Round,3,De Minaur A.,Van De Zandschulp B.,De Minaur A.,8,87,3735,672,1.14,5.5,6-4 6-4
Qatar Exxon Mobil Open,2025-02-19,ATP500,Outdoor,Hard,2nd Round,3,Borges N.,Rublev A.,Rublev A.,39,10,1345,3220,3.5,1.3,3-6 4-6
Qatar Exxon Mobil Open,2025-02-19,ATP500,Outdoor,Hard,2nd Round,3,Draper J.,O Connell C.,Draper J.,16,82,2680,730,1.2,4.5,6-2 6-1
Qatar Exxon Mobil Open,2025-02-19,ATP500,Outdoor,Hard,2nd Round,3,Bergs Z.,Medvedev D.,Medvedev D.,58,6,1007,3930,3.2,1.36,2-6 1-6
Qatar Exxon Mobil Open,2025-02-19,ATP500,Outdoor,Hard,2nd Round,3,Lehecka J.,Marozsan F.,Lehecka J.,25,57,1835,1010,1.3,3.5,6-4 6-2
Qatar Exxon Mobil Open,2025-02-19,ATP500,Outdoor,Hard,2nd Round,3,Nardi L.,Alcaraz C.,Alcaraz C.,85,3,674,7410,15.0,1.03,1-6 6-4 3-6
Qatar Exxon Mobil Open,2025-02-19,ATP500,Outdoor,Hard,2nd Round,3,Berrettini M.,Griekspoor T.,Berrettini M.,35,51,1430,1080,1.4,3.0,7-6 6-7 6-4
Qatar Exxon Mobil Open,2025-02-20,ATP500,Outdoor,Hard,Quarterfinals,3,De Minaur A.,Rublev A.,Rublev A.,8,10,3735,3220,1.67,2.2,1-6 6-3 6-7
Qatar Exxon Mobil Open,2025-02-20,ATP500,Outdoor,Hard,Quarterfinals,3,Lehecka J.,Alcaraz C.,Lehecka J.,25,3,1835,7410,4.0,1.25,6-3 3-6 6-4
Qatar Exxon Mobil Open,2025-02-20,ATP500,Outdoor,Hard,Quarterfinals,3,Berrettini M.,Draper J.,Draper J.,35,16,1430,2680,2.2,1.67,6-4 4-6 3-6
Qatar Exxon Mobil Open,2025-02-21,ATP500,Outdoor,Hard,Semifinals,3,Rublev A.,Auger-Aliassime F.,Rublev A.,10,23,3220,1965,1.67,2.2,7-5 4-6 7-6
Qatar Exxon Mobil Open,2025-02-21,ATP500,Outdoor,Hard,Semifinals,3,Lehecka J.,Draper J.,Draper J.,25,16,1835,2680,2.2,1.67,6-3 6-7 3-6
Qatar Exxon Mobil Open,2025-02-22,ATP500,Outdoor,Hard,The Final,3,Rublev A.,Draper J.,Rublev A.,10,16,3220,2680,2.0,1.8,7-5 5-7 6-1
Rio Open,2025-02-17,ATP500,Outdoor,Clay,1st Round,3,Meligeni Alves F.,Shevchenko A.,Shevchenko A.,149,103,382,568,1.67,2.2,4-6 2-6
Rio Open,2025-02-17,ATP500,Outdoor,Clay,1st Round,3,Jarry N.,Cerundolo J.M.,Jarry N.,47,127,1175,464,1.4,3.0,4-6 6-3 6-4
Rio Open,2025-02-17,ATP500,Outdoor,Clay,1st Round,3,Heide G.,Comesana F.,Comesana F.,162,86,359,673,2.3,1.62,6-7 7-6 3-6
Rio Open,2025-02-17,ATP500,Outdoor,Clay,1st Round,3,Monteiro T.,Diaz Acosta F.,Monteiro T.,99,119,590,498,1.8,2.0,3-6 6-3 7-6
Rio Open,2025-02-18,ATP500,Outdoor,Clay,1st Round,3,Seyboth Wild T.,Munar J.,Munar J.,75,55,757,1032,2.1,1.73,4-6 6-3 0-6
Rio Open,2025-02-18,ATP500,Outdoor,Clay,1st Round,3,Tseng C.H.,Tabilo A.,Tseng C.H.,125,28,480,1690,4.0,1.25,6-2 7-5
Rio Open,2025-02-18,ATP500,Outdoor,Clay,1st Round,3,Burruchaga R.,Baez S.,Baez S.,137,31,435,1510,3.39,1.34,3-6 5-7
Rio Open,2025-02-18,ATP500,Outdoor,Clay,1st Round,3,Dzumhur D.,Lajovic D.,Dzumhur D.,97,83,619,692,2.75,1.44,6-3 6-4
Rio Open,2025-02-18,ATP500,Outdoor,Clay,1st Round,3,Moutet C.,Etcheverry T.,Etcheverry T.,66,43,897,1215,3.2,1.36,3-6 6-7
Rio Open,2025-02-18,ATP500,Outdoor,Clay,1st Round,3,Navone M.,Carballes Baena R.,Navone M.,46,53,1195,1071,1.53,2.5,6-4 6-3
Rio Open,2025-02-18,ATP500,Outdoor,Clay,1st Round,3,Barrios M.,Faria J.,Faria J.,139,107,432,561,1.62,2.3,2-6 5-7
Rio Open,2025-02-18,ATP500,Outdoor,Clay,1st Round,3,Cerundolo F.,Gaston H.,Cerundolo F.,26,93,1825,636,1.14,5.5,7-6 6-0
Rio Open,2025-02-18,ATP500,Outdoor,Clay,1st Round,3,Bu Y.,Zverev A.,Zverev A.,69,2,847,8135,13.0,1.04,6-7 4-6
Rio Open,2025-02-18,ATP500,Outdoor,Clay,1st Round,3,Ugo Carabelli C.,Martinez P.,Ugo Carabelli C.,91,37,644,1385,2.75,1.44,4-6 6-3 6-3
Rio Open,2025-02-19,ATP500,Outdoor,Clay,1st Round,3,Fonseca J.,Muller A.,Muller A.,68,60,850,953,1.17,5.0,1-6 6-7
Rio Open,2025-02-19,ATP500,Outdoor,Clay,2nd Round,3,Comesana F.,Jarry N.,Comesana F.,86,47,673,1175,2.5,1.53,7-6 6-7 7-6
Rio Open,2025-02-19,ATP500,Outdoor,Clay,2nd Round,3,Navone M.,Baez S.,Baez S.,46,31,1195,1510,1.73,2.1,4-6 6-1 3-6
Rio Open,2025-02-19,ATP500,Outdoor,Clay,2nd Round,3,Zverev A.,Shevchenko A.,Zverev A.,2,103,8135,568,1.08,8.0,7-6 7-6
Rio Open,2025-02-20,ATP500,Outdoor,Clay,2nd Round,3,Monteiro T.,Tseng C.H.,Tseng C.H.,99,125,590,480,1.44,2.75,7-6 3-6 6-7
Rio Open,2025-02-20,ATP500,Outdoor,Clay,2nd Round,3,Faria J.,Munar J.,Faria J.,107,55,561,1032,3.4,1.33,6-4 2-6 6-3
Rio Open,2025-02-20,ATP500,Outdoor,Clay,2nd Round,3,Dzumhur D.,Ugo Carabelli C.,Ugo Carabelli C.,97,91,619,644,2.3,1.62,4-6 4-6
Rio Open,2025-02-20,ATP500,Outdoor,Clay,2nd Round,3,Cerundolo F.,Darderi L.,Cerundolo F.,26,61,1825,945,1.29,3.75,6-7 6-3 6-2
Rio Open,2025-02-21,ATP500,Outdoor,Clay,2nd Round,3,Etcheverry T.,Muller A.,Muller A.,43,60,1215,953,1.44,2.75,5-7 6-7
Rio Open,2025-02-21,ATP500,Outdoor,Clay,Quarterfinals,3,Baez S.,Tseng C.H.,Baez S.,31,125,1510,480,1.36,3.2,6-4 6-1
Rio Open,2025-02-21,ATP500,Outdoor,Clay,Quarterfinals,3,Faria J.,Ugo Carabelli C.,Ugo Carabelli C.,107,91,561,644,2.2,1.67,6-7 4-6
Rio Open,2025-02-21,ATP500,Outdoor,Clay,Quarterfinals,3,Comesana F.,Zverev A.,Comesana F.,86,2,673,8135,6.0,1.13,4-6 6-3 6-4
Rio Open,2025-02-22,ATP500,Outdoor,Clay,Quarterfinals,3,Cerundolo F.,Muller A.,Muller A.,26,60,1825,953,1.5,2.63,5-7 1-6
Rio Open,2025-02-22,ATP500,Outdoor,Clay,Semifinals,3,Baez S.,Ugo Carabelli C.,Baez S.,31,91,1510,644,1.36,3.2,3-6 6-1 6-1
Rio Open,2025-02-22,ATP500,Outdoor,Clay,Semifinals,3,Comesana F.,Muller A.,Muller A.,86,60,673,953,2.5,1.53,5-7 7-6 3-6
Rio Open,2025-02-23,ATP500,Outdoor,Clay,The Final,3,Baez S.,Muller A.,Baez S.,31,60,1510,953,1.73,2.1,6-2 6-3
